Search,Replace
a,а
b,б
v,в
w,в
g,г
d,д
e,е
zh,ж
j,ж
z,з
i,и
ya,йа
ye,йо
yi,йи
yo,йо
k,к
l,л
m,м
n,н
o,о
p,п
r,р
s,с
t,т
u,у
f,ф
h,х
c,ц
ts,ц
ch,ч
sh,ш
sht,щ
y,ъ
yu,ю
q,я
